No_;Class
R240981;DRINK
R240031;330ML
R240851;500ML
R240581;1LITER
R240631;330ML
R240671;750ML
R240531;330ML
R240571;750ML
R240271;750ML
R248081;1LITER
R240371;750ML
R240771;750ML
R240092;1LITER
R240001;1LITER
R240171;750ML
R240071;750ML
R240079;750ML
R240073;750ML
R240471;750ML
R240799;750ML
R240091;1LITER
R241081;DRINK
R242531;SMOOTH
R242431;SMOOTH
R242031;SMOOTH
R242331;SMOOTH
R242231;SMOOTH
R242951;VEGGIE
R242651;VEGGIE
R242751;VEGGIE
R242551;VEGGIE
R242851;VEGGIE
