"Item No_";"Posting Date";"Document Date";"Source No_";"Document No_";"Quantity";"Correction"
"R240271";2014-10-09;2014-10-09;"Z71";"14100223";-48;0
"R240581";2014-10-09;2014-10-09;"Z71";"14100223";-24;0
"R240371";2014-10-10;2014-10-10;"7000";"14100224";-468;0
"R240851";2014-10-10;2014-10-10;"7000";"14100224";-280;0
"R240771";2014-10-10;2014-10-10;"7000";"14100224";-468;0
"R240091";2014-10-10;2014-10-10;"7000";"14100224";-1368;0
"R240681";2014-10-10;2014-10-10;"7000";"14100224";-180;0
"R242031";2014-10-10;2014-10-10;"1421";"14100225";-8;0
"R242231";2014-10-10;2014-10-10;"1421";"14100225";-8;0
"R240681";2014-10-10;2014-10-10;"1248";"14100226";-18;0
"R240471";2014-10-10;2014-10-10;"1248";"14100226";-10;0
"R240471";2014-10-10;2014-10-10;"1248";"14100226";-8;0
"R240091";2014-10-10;2014-10-10;"1248";"14100226";-18;0
"R240171";2014-10-10;2014-10-10;"1248";"14100226";-18;0
"R240771";2014-10-10;2014-10-10;"1248";"14100226";-12;0
"R240851";2014-10-10;2014-10-10;"1248";"14100226";-16;0
"R241081";2014-10-10;2014-10-10;"Z43";"14100227";-12;0
"R240071";2014-10-10;2014-10-10;"Z43";"14100227";-6;0
"R240671";2014-10-03;2014-10-03;"6002";"14100079";-12;0
"R240271";2014-10-03;2014-10-03;"6002";"14100079";-12;0
"R240371";2014-10-03;2014-10-03;"6002";"14100079";-6;0
"R240071";2014-10-03;2014-10-03;"6002";"14100079";-18;0
"R240471";2014-10-03;2014-10-03;"6002";"14100079";-12;0
"R240371";2014-10-03;2014-10-03;"7000";"14100085";-468;0
"R240851";2014-10-03;2014-10-03;"7000";"14100085";-560;0
"R240771";2014-10-03;2014-10-03;"7000";"14100085";-120;0
"R240091";2014-10-03;2014-10-03;"7000";"14100085";-1026;0
"R240681";2014-10-03;2014-10-03;"7000";"14100085";-342;0
"R240581";2014-10-03;2014-10-03;"Z33";"14100095";-3;0
"R240091";2014-10-06;2014-10-06;"8040";"14100096";-120;0
"R242231";2014-10-06;2014-10-06;"8040";"14100096";-320;0
"R240371";2014-10-06;2014-10-06;"8040";"14100097";-120;0
"R240631";2014-10-06;2014-10-06;"8040";"14100097";-360;0
"R242231";2014-10-06;2014-10-06;"8040";"14100097";-640;0
"R240471";2014-10-06;2014-10-06;"5901";"14100123";-6;0
"R240681";2014-10-06;2014-10-06;"5901";"14100123";-42;0
"R240271";2014-10-02;2014-10-02;"5700";"14100024";-78;0
"R240371";2014-10-02;2014-10-02;"5700";"14100024";-72;0
"R240471";2014-10-02;2014-10-02;"5700";"14100024";-72;0
"R240091";2014-10-02;2014-10-02;"5700";"14100024";-126;0
"R240471";2014-10-03;2014-10-03;"8040";"14100025";-936;0
"R240171";2014-10-03;2014-10-03;"8040";"14100025";-900;0
"R240091";2014-10-03;2014-10-03;"8040";"14100025";-1368;0
"R240681";2014-10-03;2014-10-03;"8040";"14100025";-684;0
"R240371";2014-10-02;2014-10-02;"5901";"14100032";-30;0
"R240471";2014-10-02;2014-10-02;"5901";"14100032";-42;0
"R240771";2014-10-02;2014-10-02;"5901";"14100032";-24;0
"R242231";2014-10-02;2014-10-02;"5901";"14100032";-8;0
"R240091";2014-10-02;2014-10-02;"5901";"14100032";-54;0
"R240681";2014-10-02;2014-10-02;"5901";"14100032";-42;0
"R240371";2014-10-03;2014-10-03;"1248";"14100075";-8;0
"R240371";2014-10-03;2014-10-03;"1248";"14100075";-4;0
"R240271";2014-10-03;2014-10-03;"1248";"14100075";-12;0
"R240671";2014-10-03;2014-10-03;"1248";"14100075";-18;0
"R240091";2014-10-15;2014-10-15;"8040";"14100321";-600;0
"R240631";2014-10-15;2014-10-15;"8040";"14100321";-528;0
"R242231";2014-10-15;2014-10-15;"8040";"14100321";-120;0
"R240091";2014-10-15;2014-10-15;"8040";"14100322";-1200;0
"R240471";2014-10-15;2014-10-15;"8040";"14100322";-240;0
"R242231";2014-10-15;2014-10-15;"8040";"14100322";-800;0
"R242031";2014-10-15;2014-10-15;"8040";"14100322";-680;0
"R240091";2014-10-15;2014-10-15;"8040";"14100323";-342;0
"R240171";2014-10-15;2014-10-15;"8040";"14100323";-90;0
"R240371";2014-10-15;2014-10-15;"8040";"14100323";-390;0
"R240471";2014-10-15;2014-10-15;"8040";"14100323";-390;0
"R240631";2014-10-15;2014-10-15;"8040";"14100323";-120;0
"R240681";2014-10-15;2014-10-15;"8040";"14100323";-114;0
"R240771";2014-10-15;2014-10-15;"8040";"14100323";-312;0
"R241081";2014-10-15;2014-10-15;"8040";"14100323";-114;0
"R242331";2014-10-15;2014-10-15;"8040";"14100323";-16;0
"R240681";2014-10-15;2014-10-15;"1720";"14100334";-312;0
"R240771";2014-10-15;2014-10-15;"1720";"14100334";-102;0
"R240371";2014-10-10;2014-10-10;"6002";"14100229";-12;0
"R240271";2014-10-10;2014-10-10;"6002";"14100229";-12;0
"R240071";2014-10-10;2014-10-10;"6002";"14100229";-12;0
"R240171";2014-10-10;2014-10-10;"6002";"14100229";-12;0
"R240471";2014-10-10;2014-10-10;"6002";"14100229";-12;0
"R240671";2014-10-10;2014-10-10;"6002";"14100229";-12;0
