"Item No_";"Posting Date";"Item Ledger Entry Type";"Source No_";"Source Code";"Source Type";"Document No_";"Document Type";"Gen_ Bus_ Posting Group";"Item Ledger Entry No_";"Valued Quantity";"Invoiced Quantity";"Cost per Unit";"Cost Amount (Actual)"
"R240171";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180037";6;"EU";614055;1872;1872;0.889;1664.21
"R240171";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180037";6;"EU";614056;4680;4680;0.889;4160.52
"R240471";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180037";6;"EU";614057;1872;1872;0.972;1819.58
"R240471";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180037";6;"EU";614058;3744;3744;0.972;3639.17
"R240092";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180037";6;"EU";614059;10944;10944;0.889;9729.22
"R240771";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180038";6;"EU";614049;3276;3276;0.812;2660.11
"R240071";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180038";6;"EU";614050;936;936;0.886;829.3
"R242431";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180038";6;"EU";614051;2520;2520;0.535;1348.2
"R240531";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180038";6;"EU";614052;2016;2016;0.482;971.71
"R240631";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180038";6;"EU";614053;2016;2016;0.532;1072.51
"R240001";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180038";6;"EU";614054;252;252;1.79667;452.76
"R240799";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613593;1872;1872;0.98833;1850.16
"R240371";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613594;6552;6552;1.04333;6835.92
"R240671";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613595;6552;6552;1.044;6840.29
"R240271";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613596;4680;4680;0.87333;4087.2
"R242031";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613597;5608;5608;0.52125;2923.17
"R242231";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613598;5184;5184;0.53625;2779.92
"R242331";2018-01-05;0;"D5000489";"N핳UPY";2;"NF5180039";6;"EU";613599;3736;3736;0.52125;1947.39
"R240171";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615292;2808;2808;0.889;2496.31
"R240771";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615293;4212;4212;0.812;3420.14
"R240071";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615294;2808;2808;0.886;2487.89
"R240471";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615295;1872;1872;0.972;1819.58
"R240851";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615296;1120;1120;1.205;1349.6
"R240851";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615297;560;560;1.205;674.8
"R240092";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615298;3078;3078;0.889;2736.34
"R240073";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615299;1134;1134;1.089;1234.93
"R242431";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615300;976;976;0.485;473.36
"R240531";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615301;4032;4032;0.502;2024.06
"R240631";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615302;4032;4032;0.562;2265.98
"R240001";2018-01-12;0;"D5000489";"N핳UPY";2;"NF5180067";6;"EU";615303;930;930;1.79667;1670.9
"R240092";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180097";6;"EU";616165;684;684;0.88901;608.08
"R240092";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180097";6;"EU";616166;9576;9576;0.889;8513.06
"R240471";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180098";6;"EU";616646;936;936;0.972;909.79
"R240851";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180098";6;"EU";616647;696;696;1.205;838.68
"R240073";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180098";6;"EU";616648;936;936;1.089;1019.3
"R240531";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180098";6;"EU";616649;2904;2904;0.502;1457.81
"R240799";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180099";6;"EU";616161;3312;3312;0.98833;3273.36
"R240371";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180099";6;"EU";616162;3318;3318;1.108;3676.34
"R240671";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180099";6;"EU";616163;10908;10908;1.019;11115.25
"R240271";2018-01-19;0;"D5000489";"N핳UPY";2;"NF5180099";6;"EU";616164;3570;3570;1.051;3752.07
"R031663";2018-01-05;0;"D5000677";"N핳UPY";2;"NF5180011";6;"EU";615458;100;100;6.3;630
