"No_";"Shortcut Dimension 2 Code";"SUM"
"A020120";"TheDaughterofTime";495311.69
"R260090";"TheBigSleep";4334.78
"A248133";"TheMalteseFalcon";453.78
"A020140";"TheDaughterofTime";110475.37
"10/11";"TalesofMysteryandImagination";0
"4/9";"TalesofMysteryandImagination";0
"A210170";"GaudyNight";18087.76
"FB113087";"TheMurderofRogerAckroyd";10116.51
"3/13";"TalesofMysteryandImagination";0
"R247681";"PresumedInnocent";25235.32
"FB102008";"TheMurderofRogerAckroyd";1865.86
"R033423";"Rebecca";3310.93
"R190230";"TalesofMysteryandImagination";104929.55
"FB211280";"TheMurderofRogerAckroyd";3844.82
"R240071";"PresumedInnocent";96683.85
"ZFB300314";"TheMurderofRogerAckroyd";2985.83
"17/17";"TalesofMysteryandImagination";0
"R032603";"Rebecca";37.4
"A192223";"TheMalteseFalcon";1951.22
"ZFB106228";"TheMurderofRogerAckroyd";54
"A020300";"TheDaughterofTime";101036.39
"3/5";"TalesofMysteryandImagination";0
"7/9";"TalesofMysteryandImagination";0
"R241481";"PresumedInnocent";1855.7
"R035193";"Rebecca";2659.09
"ZA068113";"TalesofMysteryandImagination";1.4
"A170242";"Farewell,MyLovely";1054.81
"642020";"TalesofMysteryandImagination";1276.79
"A213170";"GaudyNight";1950.38
"A216482";"TheMoonstone";412.37
"4/12";"TalesofMysteryandImagination";0
"A170062";"Farewell,MyLovely";785.61
"R190330";"TalesofMysteryandImagination";419.23
"FB105020";"TheMurderofRogerAckroyd";2147.24
"R240171";"PresumedInnocent";259019.7
"A214512";"TheIpcressFile";1800.65
"A338120";"TheFranchiseAffair";0.34
"A270680";"AnatomyofaMurder";3935.16
"2/8";"TalesofMysteryandImagination";0
"A112720";"LastSeenWearing";32.51
"A023210";"TheDaughterofTime";22299.43
"FB113361";"TheMurderofRogerAckroyd";3981.91
"R324020";"TheLongGoodbye";1503.34
"A110301";"LastSeenWearing";3616.52
"R192010";"TalesofMysteryandImagination";6930.5
"4/4";"TalesofMysteryandImagination";0
"R322925";"TheNameoftheRose";6747.3
"F414062";"RogueMale";6962.79
"R320440";"TheLongGoodbye";3160.61
"A111020";"LastSeenWearing";18387.36
"A050221";"TheIpcressFile";229.91
"602025";"TalesofMysteryandImagination";119231.04
"R240009";"PresumedInnocent";4046.6
"FB113381";"TheMurderofRogerAckroyd";71616.97
"A020100";"TheDaughterofTime";78018.07
"A191475";"MaliceAforethought";1351.2
"FB210614";"TheMurderofRogerAckroyd";891.57
"INTEREUROP";"TalesofMysteryandImagination";0
"A191433";"TheMalteseFalcon";3517.99
"R242331";"PresumedInnocent";72441.33
"602022";"TalesofMysteryandImagination";86995.06
"A271150";"AnatomyofaMurder";19.37
"R191400";"TalesofMysteryandImagination";72.36
"A040511";"TheIpcressFile";6494.15
"9/11";"TalesofMysteryandImagination";0
"7/8";"TalesofMysteryandImagination";0
"A290130";"TheMalteseFalcon";230.32
"FD000266";"ACoffinforDimitrios";8778.56
"ZFB106222";"TheMurderofRogerAckroyd";65.79
"A113200";"LastSeenWearing";3399.25
"A020400";"TheDaughterofTime";10129.2
"R260080";"TheBigSleep";12530.37
"A050830";"TheIpcressFile";68315.98
"FB113338";"TheMurderofRogerAckroyd";228337.62
"FB103015";"TalesofMysteryandImagination";50.54
"A214612";"TheIpcressFile";1820.49
"A051110";"TheIpcressFile";494.94
"A050199";"TheIpcressFile";42758.5
"A110221";"LastSeenWearing";5596.8
"A050178";"TheIpcressFile";127453.66
"R030013";"Rebecca";973.68
"A050229";"TheIpcressFile";3659.55
"A068133";"TalesofMysteryandImagination";4774.55
"A110820";"LastSeenWearing";22591.07
"6/13";"TalesofMysteryandImagination";0
"R323532";"TheDayoftheJackal";740.99
"FB107526";"TheMurderofRogerAckroyd";864.62
"A111450";"LastSeenWearing";5736.43
"R240091";"PresumedInnocent";53735.64
"A270120";"AnatomyofaMurder";376.82
"A020250";"TheDaughterofTime";213165.21
"A050170";"TheIpcressFile";133988.5
"A040931";"TheNineTailors";93781.63
"A190010";"TheThirty-NineSteps";3467.32
