"No_";"Sell-to Customer No_";"Shipment Date";"Customer Price Group";"Unit Price"
"R240071";"8035";2014-10-08;"mystery2";0.938
"R240171";"8035";2014-10-08;"mystery2";0.938
"R240271";"8035";2014-10-08;"mystery2";0.888
"R240371";"8035";2014-10-08;"mystery2";0.989
"R240471";"8035";2014-10-08;"mystery2";0.989
"R240671";"8035";2014-10-08;"mystery2";1.04
"R240771";"8035";2014-10-08;"mystery2";0.857
"R240631";"8035";2014-10-08;"mystery2";0.547
"R241081";"8035";2014-10-08;"mystery2";0.445
"R240681";"8035";2014-10-08;"mystery2";1.108
"R240091";"8035";2014-10-08;"mystery2";1.042
"R242031";"8035";2014-10-08;"mystery2";0.528
"R242331";"8035";2014-10-08;"mystery2";0
"R242231";"8035";2014-10-08;"mystery2";0.553
"R240091";"8040";2014-10-09;"mystery1";1.063
"R240171";"8040";2014-10-09;"mystery1";0.957
"R242231";"8040";2014-10-09;"mystery1";0.564
"R242031";"8040";2014-10-09;"mystery1";0.538
"R240681";"1720";2014-10-08;"motive";1.39
"R240771";"1720";2014-10-08;"motive";1.39
"R240171";"1720";2014-10-08;"motive";1.39
"R240091";"1720";2014-10-08;"motive";1.39
"R240631";"1720";2014-10-08;"motive";0.738
"R240851";"1720";2014-10-08;"motive";1.79
"R240371";"1720";2014-10-08;"motive";1.39
"R240471";"1720";2014-10-08;"motive";1.39
"R242031";"1720";2014-10-08;"motive";0.738
"R242231";"1720";2014-10-08;"motive";0.738
"R240091";"8040";2014-10-08;"mystery1";1.063
"R240171";"8040";2014-10-08;"mystery1";0.957
"R240371";"1248";2014-10-03;"GASTRO";1.24
"R240271";"1248";2014-10-03;"GASTRO";1.24
"R240671";"1248";2014-10-03;"GASTRO";1.35
"R240471";"1248";2014-10-03;"GASTRO";1.35
"R240671";"6002";2014-10-03;"crime";1.59
"R240271";"6002";2014-10-03;"crime";1.44
"R240371";"6002";2014-10-03;"crime";1.44
"R240071";"6002";2014-10-03;"crime";1.44
"R240471";"6002";2014-10-03;"crime";1.44
"R240371";"7000";2014-10-03;"hunch";1.166
"R240851";"7000";2014-10-03;"hunch";1.613
"R240771";"7000";2014-10-03;"hunch";1.166
"R240091";"7000";2014-10-03;"hunch";1.166
"R240681";"7000";2014-10-03;"hunch";1.166
"R240581";"Z33";2014-10-03;"ZAKL";0.5
"R240371";"8040";2014-10-08;"mystery1";1.009
"R240471";"8040";2014-10-08;"mystery1";1.009
"R240771";"8040";2014-10-08;"mystery1";0.874
"R240631";"8040";2014-10-08;"mystery1";0.558
"R242231";"8040";2014-10-08;"mystery1";0.564
"R242031";"8040";2014-10-08;"mystery1";0.538
"R240091";"8040";2014-10-09;"mystery1";1.063
"R240091";"8040";2014-10-09;"mystery1";1.063
"R240171";"8040";2014-10-09;"mystery1";0.957
"R240091";"8040";2014-10-09;"mystery1";1.063
"R240171";"8040";2014-10-09;"mystery1";0.957
"R242031";"8040";2014-10-09;"mystery1";0.538
"R240271";"5700";2014-10-09;"clue";1.15
"R240371";"5700";2014-10-09;"clue";1.15
"R240091";"5700";2014-10-09;"clue";1.15
"R240091";"1434";2014-10-13;"GASTRO";1.4904
"R240171";"1434";2014-10-13;"GASTRO";1.4904
"R240371";"1434";2014-10-13;"GASTRO";1.4904
"R240471";"1434";2014-10-13;"GASTRO";1.4904
"R240681";"1434";2014-10-13;"GASTRO";1.4904
"R240771";"1434";2014-10-13;"GASTRO";1.4904
"R240671";"1301";2014-10-13;"forensics";1.413
"R240471";"1301";2014-10-13;"forensics";1.3064
"R240271";"1301";2014-10-13;"forensics";1.3064
"R240581";"Z40";2014-10-08;"ZAKL";0.2
"R240581";"Z40";2014-10-13;"ZAKL";0.2
"R240271";"Z40";2014-10-13;"ZAKL";0.2
"R240581";"Z40";2014-10-13;"ZAKL";0.2
"R240271";"Z40";2014-10-13;"ZAKL";0.2
"R240271";"Z40";2014-10-13;"ZAKL";0.2
"R240371";"5901";2014-10-16;"detective";1.27
"R240471";"5901";2014-10-16;"detective";1.436
"R240771";"5901";2014-10-16;"detective";1.27
"R240091";"5901";2014-10-16;"detective";1.27
"R240681";"5901";2014-10-16;"detective";1.436
"R240681";"1720";2014-10-15;"motive";1.39
"R240771";"1720";2014-10-15;"motive";1.39
"R240171";"1720";2014-10-15;"motive";1.39
"R240091";"1720";2014-10-15;"motive";1.39
"R240631";"1720";2014-10-15;"motive";0.738
"R240851";"1720";2014-10-15;"motive";1.79
"R240371";"1720";2014-10-15;"motive";1.39
"R240471";"1720";2014-10-15;"motive";1.39
"R242031";"1720";2014-10-15;"motive";0.738
"R242231";"1720";2014-10-15;"motive";0.738
"R240371";"5901";2014-10-20;"detective";1.27
"R240471";"5901";2014-10-20;"detective";1.436
