"Item No_";"Sales Type";"Sales Code";"Starting Date";"Unit of Measure Code";"Unit Price";"Ending Date"
"A020020";3;"AKCIA14-0136";2014-10-01;"KS";1.876;2014-11-07
"A020120";3;"AKCIA14-0136";2014-10-01;"KS";1.876;2014-11-07
"A020220";3;"AKCIA14-0136";2014-10-01;"KS";2.396;2014-11-07
"A020240";3;"AKCIA14-0136";2014-10-01;"KS";2.396;2014-11-07
"A020250";3;"AKCIA14-0136";2014-10-01;"KS";2.396;2014-11-07
"A020320";3;"AKCIA14-0136";2014-10-01;"KS";1.876;2014-11-07
"A050120";3;"AKCIA14-0148";2014-10-01;"KS";2.89;2014-11-05
"A060130";0;"1472";2014-10-01;"KS";4.99;2018-12-31
"A191270";0;"1417";2014-10-01;"KS";4.29;1753-01-01
"ZR322614";0;"3310";2014-10-01;"KS";1.386;1753-01-01
"A210120";3;"AKCIA14-0142";2014-10-06;"KS";0.379;2014-11-25
"A210220";3;"AKCIA14-0142";2014-10-06;"KS";0.398;2014-11-25
"A053070";3;"AKCIA14-0142";2014-10-06;"KS";2.29;2014-11-25
"A026321";3;"AKCIA14-0137";2014-10-09;"KS";1.39;2014-11-04
"A026421";3;"AKCIA14-0137";2014-10-09;"KS";1.39;2014-11-04
"A026521";3;"AKCIA14-0137";2014-10-09;"KS";1.39;2014-11-04
"A026621";3;"AKCIA14-0137";2014-10-09;"KS";1.39;2014-11-04
"FB102127";1;"MEDISTHU";2014-10-10;"KARTÓN";7.155;2017-12-31
"FB113338";3;"AKCIA14-0140";2014-10-13;"KS";0.252;2014-11-11
"FB113365";3;"AKCIA14-0140";2014-10-13;"KS";0.262;2014-11-11
"A060020";3;"AKCIA14-0143";2014-10-13;"KS";0.976;2014-11-11
"A060120";3;"AKCIA14-0143";2014-10-13;"KS";0.976;2014-11-11
"A020320";3;"AKCIA14-0135";2014-10-13;"KS";1.658;2014-11-05
"A020250";3;"AKCIA14-0135";2014-10-13;"KS";1.929;2014-11-05
"A020220";3;"AKCIA14-0135";2014-10-13;"KS";1.929;2014-11-05
"A020120";3;"AKCIA14-0135";2014-10-13;"KS";1.658;2014-11-05
"A020020";3;"AKCIA14-0135";2014-10-13;"KS";1.658;2014-11-05
"A020000";3;"AKCIA14-0151";2014-10-20;"KS";0.77;2014-11-05
"A020100";3;"AKCIA14-0151";2014-10-20;"KS";0.77;2014-11-05
"A020300";3;"AKCIA14-0151";2014-10-20;"KS";0.77;2014-11-05
"A060120";3;"AKCIA14-0147";2014-10-20;"KS";1.11;2014-11-19
"A060020";3;"AKCIA14-0147";2014-10-20;"KS";1.11;2014-11-19
"A060030";3;"AKCIA14-0152";2014-10-22;"KS";5.39;2014-11-30
"A060130";3;"AKCIA14-0152";2014-10-22;"KS";5.39;2014-11-30
"A191270";3;"AKCIA14-0152";2014-10-22;"KS";4.39;2014-11-30
"A060130";3;"AKCIA14-0146";2014-10-23;"KS";5.69;2014-12-02
"A060030";3;"AKCIA14-0146";2014-10-23;"KS";5.69;2014-12-02
"R322252";1;"MEDISTCZ";2014-10-23;"KG";9.954;2017-12-31
"R261020";1;"SAM";2014-10-24;"KS";1.598;1753-01-01
"R260020";1;"SAM";2014-10-24;"KS";1.187;1753-01-01
"R260220";1;"SAM";2014-10-24;"KS";1.234;1753-01-01
"A210630";3;"AKCIA14-0153";2014-10-27;"KS";0.67;2014-11-09
"A211930";3;"AKCIA14-0153";2014-10-27;"KS";0.67;2014-11-09
"A020260";3;"AKCIA14-0150";2014-10-27;"KS";3.03;2014-11-25
"A020340";3;"AKCIA14-0150";2014-10-27;"KS";2.48;2014-11-25
"A020120";3;"AKCIA14-0153";2014-10-27;"KS";2.09;2014-11-09
"A020020";3;"AKCIA14-0153";2014-10-27;"KS";2.09;2014-11-09
"A020030";3;"AKCIA14-0150";2014-10-27;"KS";2.48;2014-11-25
"ZA211730";3;"AKCIA14-0153";2014-10-27;"KS";0.67;2014-11-09
"A050820";3;"AKCIA14-0145";2014-10-29;"KS";2.99;2014-12-04
"A050120";3;"AKCIA14-0145";2014-10-29;"KS";3.09;2014-12-04
"A050220";3;"AKCIA14-0145";2014-10-29;"KS";3.19;2014-12-04
"A050620";3;"AKCIA14-0145";2014-10-29;"KS";2.99;2014-12-04
"A020008";0;"9594";2014-11-01;"KS";0.83301;2016-12-31
"A020108";0;"9594";2014-11-01;"KS";0.83301;2016-12-31
"A020308";0;"9594";2014-11-01;"KS";0.83301;2016-12-31
"R260020";1;"TESCO";2014-11-01;"KS";1.07;1753-01-01
"A338030";1;"MEDISTCZ";2014-11-01;"KS";20.56;2017-12-31
"A338120";1;"MEDISTCZ";2014-11-01;"KS";5.76;2017-12-31
"FB210599";0;"1475";2014-11-01;"KS";0.506;2018-01-17
"FD000462";0;"1475";2014-11-01;"KS";1.173;2018-02-12
"R190130";0;"9954";2014-11-01;"KS";0.679;1753-01-01
"ZFB210378";0;"1475";2014-11-01;"KS";0.286;2018-02-12
"ZR031670";0;"1475";2014-11-01;"KS";10.72;2018-02-12
"R261020";1;"TESCO";2014-11-01;"KS";1.427;1753-01-01
"R260220";1;"TESCO";2014-11-01;"KS";1.11;1753-01-01
"R322612";0;"1479";2014-11-01;"KS";1.66;1753-01-01
"A050120";3;"AKCIA14-0155";2014-11-03;"KS";3.28;2014-12-03
"A050820";3;"AKCIA14-0155";2014-11-03;"KS";3.12;2014-12-03
"A060020";3;"AKCIA14-0154";2014-11-03;"KS";1.13;2014-12-10
"A060120";3;"AKCIA14-0154";2014-11-03;"KS";1.13;2014-12-10
"A020300";3;"AKCIA14-0149";2014-11-06;"KS";0.69;2014-12-03
"A020100";3;"AKCIA14-0149";2014-11-06;"KS";0.69;2014-12-03
"A020200";3;"AKCIA14-0149";2014-11-06;"KS";0.79;2014-12-03
"A020000";3;"AKCIA14-0149";2014-11-06;"KS";0.69;2014-12-03
"ZR321984";3;"AKCIA14-0156";2014-11-06;"KS";56.04;2014-12-24
"A060120";3;"AKCIA14-0159";2014-11-10;"KS";0.976;2014-12-09
"A060020";3;"AKCIA14-0159";2014-11-10;"KS";0.976;2014-12-09
"A050820";3;"AKCIA14-0158";2014-11-10;"KS";2.99;2014-12-31
"A050120";3;"AKCIA14-0158";2014-11-10;"KS";2.99;2014-12-31
"A050620";3;"AKCIA14-0158";2014-11-10;"KS";2.99;2014-12-31
"A070010";3;"AKCIA14-0157";2014-11-10;"KS";0.859;2014-12-31
"A020008";3;"AKCIA14-0166";2014-11-17;"KS";0.941;2014-12-31
"A020020";3;"AKCIA14-0167";2014-11-17;"KS";1.99;2014-12-16
"A020108";3;"AKCIA14-0166";2014-11-17;"KS";0.941;2014-12-31
"A020250";3;"AKCIA14-0167";2014-11-17;"KS";2.2;2014-12-16
"A020220";3;"AKCIA14-0167";2014-11-17;"KS";2.2;2014-12-16
"A020320";3;"AKCIA14-0167";2014-11-17;"KS";1.99;2014-12-16
"A060130";0;"8205";2014-11-18;"KS";5.15;2018-12-31
"A060130";0;"1350";2014-11-18;"KS";5.15;2018-12-31
"R240091";0;"1355";2014-11-18;"KS";1.08;1753-01-01
"R240092";0;"1248";2014-11-18;"KS";1.24;1753-01-01
"R240092";0;"1355";2014-11-18;"KS";1.08;1753-01-01
"R240092";1;"BILLA";2014-11-18;"KS";1.166;2018-02-14
"R240092";1;"SAM";2014-11-18;"KS";1.39;2017-12-31
"R322612";1;"MEDISTCZ";2014-11-18;"KS";1.11;2017-12-31
"R322612";1;"MEDISTHU";2014-11-18;"KS";1.089;2017-12-31
"A020320";3;"AKCIA14-0165";2014-11-19;"KS";1.876;2014-12-26
"A020220";3;"AKCIA14-0165";2014-11-19;"KS";2.396;2014-12-26
"A020240";3;"AKCIA14-0165";2014-11-19;"KS";2.396;2014-12-26
"A020250";3;"AKCIA14-0165";2014-11-19;"KS";2.396;2014-12-26
"A020120";3;"AKCIA14-0165";2014-11-19;"KS";1.876;2014-12-26
"A020108";3;"AKCIA14-0169";2014-11-19;"KS";0.976;2014-12-16
"A020020";3;"AKCIA14-0165";2014-11-19;"KS";1.876;2014-12-26
"A020008";3;"AKCIA14-0169";2014-11-19;"KS";0.976;2014-12-16
"A020020";3;"AKCIA14-0163";2014-11-20;"KS";2.268;2014-12-16
"A020120";3;"AKCIA14-0163";2014-11-20;"KS";2.268;2014-12-16
"A020220";3;"AKCIA14-0163";2014-11-20;"KS";2.843;2014-12-16
"A020320";3;"AKCIA14-0163";2014-11-20;"KS";2.268;2014-12-16
"A050880";3;"AKCIA14-0163";2014-11-20;"KS";12.16;2014-12-16
"A051110";3;"AKCIA14-0160";2014-11-20;"KS";3.83;2014-12-31
"A051210";3;"AKCIA14-0160";2014-11-20;"KS";3.83;2014-12-31
"A051810";3;"AKCIA14-0160";2014-11-20;"KS";3.83;2014-12-31
"A050180";3;"AKCIA14-0163";2014-11-20;"KS";12.16;2014-12-16
"R320022";3;"AKCIA14-0162";2014-11-20;"KS";3.16;2014-12-31
"R324122";3;"AKCIA14-0162";2014-11-20;"KS";1.614;2014-12-31
"ZR323034";3;"AKCIA14-0161";2014-11-20;"KG";7.04;2014-12-16
"ZA213180";3;"AKCIA14-0164";2014-11-20;"KS";4.01;2014-12-31
"ZA214090";3;"AKCIA14-0164";2014-11-20;"KS";4.01;2014-12-31
"ZA212080";3;"AKCIA14-0164";2014-11-20;"KS";4.01;2014-12-31
"ZA210180";3;"AKCIA14-0164";2014-11-20;"KS";4.01;2014-12-31
"ZA051010";3;"AKCIA14-0160";2014-11-20;"KS";3.83;2014-12-31
"A020108";3;"AKCIA14-0168";2014-11-24;"KS";0.89;2014-12-31
"A020008";3;"AKCIA14-0168";2014-11-24;"KS";0.89;2014-12-31
"FB113365";3;"AKCIA14-0171";2014-11-24;"KS";0.262;2014-12-24
"FB113338";3;"AKCIA14-0171";2014-11-24;"KS";0.252;2014-12-24
"A020008";3;"AKCIA14-0170";2014-11-25;"KS";0.87;2014-12-31
"A020108";3;"AKCIA14-0170";2014-11-25;"KS";0.87;2014-12-31
"A020120";3;"AKCIA14-0173";2014-12-01;"KS";2.18;2015-01-14
"A020020";3;"AKCIA14-0173";2014-12-01;"KS";2.18;2015-01-14
"A020320";3;"AKCIA14-0173";2014-12-01;"KS";2.18;2015-01-14
"A020220";3;"AKCIA14-0173";2014-12-01;"KS";2.46;2015-01-14
"A020240";3;"AKCIA14-0173";2014-12-01;"KS";2.46;2015-01-14
"A020250";3;"AKCIA14-0173";2014-12-01;"KS";2.46;2015-01-14
"A070110";1;"SAM";2014-12-01;"KS";0.952;1753-01-01
"A070210";1;"SAM";2014-12-01;"KS";1.438;1753-01-01
"A070610";1;"SAM";2014-12-01;"KS";1.09;1753-01-01
"ZR030570";1;"MEDISTCZ";2014-12-01;"KG";10.844;2017-12-31
"R324122";1;"CBA";2014-12-01;"KS";1.36;1753-01-01
"R324122";1;"MEDISTCZ";2014-12-01;"KS";1.081;2017-12-31
"R323130";1;"MEDISTCZ";2014-12-01;"KG";6.446;2017-12-31
"R322353";1;"MEDISTCZ";2014-12-01;"KG";9.726;2017-12-31
"A060020";3;"AKCIA14-0174";2014-12-04;"KS";1.27;2014-12-31
"A060120";3;"AKCIA14-0174";2014-12-04;"KS";1.27;2014-12-31
"A070010";3;"AKCIA15-0001";2014-12-08;"KS";0.859;2015-01-31
"R329752";3;"AKCIA14-0172";2014-12-08;"KG";5.55;2015-01-02
"A020250";3;"AKCIA14-0175";2014-12-10;"KS";2.324;2015-01-16
"A020240";3;"AKCIA14-0175";2014-12-10;"KS";2.324;2015-01-16
"A020220";3;"AKCIA14-0175";2014-12-10;"KS";2.324;2015-01-16
"A020320";3;"AKCIA14-0175";2014-12-10;"KS";1.876;2015-01-16
"A020020";3;"AKCIA14-0175";2014-12-10;"KS";1.876;2015-01-16
"A020120";3;"AKCIA14-0175";2014-12-10;"KS";1.876;2015-01-16
"A020020";3;"AKCIA15-0014";2014-12-29;"KS";1.99;2015-01-27
"A020320";3;"AKCIA15-0014";2014-12-29;"KS";1.99;2015-01-27
"A020220";3;"AKCIA15-0014";2014-12-29;"KS";2.2;2015-01-27
"A020250";3;"AKCIA15-0014";2014-12-29;"KS";2.2;2015-01-27
"A060120";3;"AKCIA15-0004";2014-12-29;"KS";1.13;2015-02-04
"A060020";3;"AKCIA15-0004";2014-12-29;"KS";1.13;2015-02-04
"A060020";3;"AKCIA15-0013";2015-01-01;"KS";1.143;2015-12-31
